title_normalized,quartile
nature,Q1
science,Q1
cell,Q1
the lancet,Q1
new england journal of medicine,Q1
jama,Q1
bmj british medical journal,Q1
nature medicine,Q1
nature communications,Q1
nature neuroscience,Q1
proceedings of the national academy of sciences,Q1
circulation,Q1
european heart journal,Q1
journal of the american college of cardiology,Q1
heart rhythm,Q1
ieee transactions on biomedical engineering,Q1
ieee transactions on neural systems and rehabilitation engineering,Q1
ieee transactions on medical imaging,Q1
ieee journal of biomedical and health informatics,Q1
ieee transactions on biomedical circuits and systems,Q1
annals of biomedical engineering,Q1
journal of neural engineering,Q1
neuroimage,Q1
brain,Q1
neurology,Q1
plos biology,Q1
plos medicine,Q1
plos one,Q1
scientific reports,Q1
frontiers in neuroscience,Q1
frontiers in physiology,Q1
journal of physiology,Q2
physiological measurement,Q2
medical engineering physics,Q2
journal of electrocardiology,Q2
computers in biology and medicine,Q2
biomedical signal processing and control,Q2
journal of medical systems,Q2
medical biological engineering computing,Q2
expert systems with applications,Q2
sensors,Q2
biosensors,Q2
journal of biomedical informatics,Q2
artificial intelligence in medicine,Q2
health informatics journal,Q2
international journal of medical informatics,Q2
journal of clinical monitoring and computing,Q2
journal of healthcare engineering,Q3
biomedical engineering online,Q3
technology and health care,Q3
journal of medical engineering technology,Q3
international journal of biomedical engineering and technology,Q3
bmc medical informatics and decision making,Q3
informatics in medicine unlocked,Q3
journal of cardiovascular electrophysiology,Q3
pace pacing and clinical electrophysiology,Q3
clinical neurophysiology,Q2
electroencephalography and clinical neurophysiology,Q2
journal of neuroscience methods,Q2
journal of neurophysiology,Q2
autonomic neuroscience,Q3
clinical autonomic research,Q3
medical hypotheses,Q4
journal of low power electronics,Q4
journal of circuits systems and computers,Q4
iete journal of research,Q4
journal of medical devices,Q4
